time_gmt,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
2018-12-01T03:00:00Z,Possible Light Rain,rain,1.12,0.46,rain,16.65,16.81,15.6,0.94,1011.57,3.1,10.2,161,0.75,0,7.6,293.1
2018-12-01T04:00:00Z,Possible Light Rain,rain,0.69,0.41,rain,16.84,17.04,15.9,0.94,1012.07,2.69,7.43,160,0.75,0,9.443,293.6
2018-12-01T05:00:00Z,Overcast,cloudy,0.18,0.24,rain,16.71,16.77,14.94,0.89,1012.44,3.49,8.27,204,1,0,7.744,294.4
2018-12-01T06:00:00Z,Overcast,cloudy,0.04,0.1,rain,15.58,15.62,14.47,0.93,1013.22,5.81,11.02,173,1,0,10.003,292.5
2018-12-01T07:00:00Z,Overcast,cloudy,0.01,0.04,rain,15.29,15.29,13.12,0.87,1013.95,4.79,13.21,183,1,0,9.515,291.9
2018-12-01T08:00:00Z,Mostly Cloudy,partly-cloudy-night,0,0,NA,15.08,15.08,11.59,0.8,1014.71,5.07,10.73,190,0.75,0,10.041,291.3
2018-12-01T09:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,14.47,14.47,10.65,0.78,1015.42,5.61,10.66,196,0.44,0,10.003,291.7
2018-12-01T10:00:00Z,Mostly Cloudy,partly-cloudy-day,0,0,NA,14.64,14.64,9.69,0.72,1015.97,5.38,11.61,182,0.63,1,10.003,294
2018-12-01T11:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,15.04,15.04,8.46,0.65,1016.46,5.77,11.23,180,0.44,2,10.003,297.1
2018-12-01T12:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,16.01,16.01,8.24,0.6,1016.92,5.11,9.8,182,0.44,4,10.003,297.4
2018-12-01T13:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,17.64,17.64,7.71,0.52,1017.46,6.01,10.79,182,0.44,6,10.003,297.8
2018-12-01T14:00:00Z,Mostly Cloudy,partly-cloudy-day,0,0,NA,17.66,17.66,6.7,0.49,1018.01,5.27,10.62,182,0.75,6,10.003,297.5
2018-12-01T15:00:00Z,Mostly Cloudy,partly-cloudy-day,0,0,NA,17.75,17.75,7.7,0.52,1018.38,6.79,12.79,181,0.75,7,10.003,296.9
2018-12-01T16:00:00Z,Mostly Cloudy,partly-cloudy-day,0,0,NA,18.09,18.09,7.3,0.49,1018.42,5.1,10.62,181,0.75,7,10.003,296.4
2018-12-01T17:00:00Z,Mostly Cloudy,partly-cloudy-day,0,0,NA,18.25,18.25,7.27,0.49,1018.26,5.66,12.14,179,0.75,6,10.003,295.7
2018-12-01T18:00:00Z,Mostly Cloudy,partly-cloudy-day,0,0,NA,18.51,18.51,6.16,0.44,1018.34,5.99,12.5,167,0.75,5,10.003,295.5
2018-12-01T19:00:00Z,Mostly Cloudy,partly-cloudy-day,0,0,NA,18.98,18.98,6,0.43,1018.34,6.29,12.74,173,0.61,4,10.003,295
2018-12-01T20:00:00Z,Mostly Cloudy,partly-cloudy-day,0,0,NA,18.89,18.89,6.58,0.45,1018.36,5.83,10.81,169,0.75,2,10.003,294.7
2018-12-01T21:00:00Z,Mostly Cloudy,partly-cloudy-day,0,0,NA,18.66,18.66,5.56,0.42,1018.58,4.9,11.68,170,0.75,1,10.003,294.4
2018-12-01T22:00:00Z,Mostly Cloudy,partly-cloudy-day,0,0,NA,17.66,17.66,5.56,0.45,1019.05,5.9,11.67,167,0.75,0,10.003,294.3
2018-12-01T23:00:00Z,Mostly Cloudy,partly-cloudy-night,0,0,NA,16.55,16.55,5.44,0.48,1019.72,5.66,11.27,159,0.75,0,10.003,294.3
2018-12-02T00:00:00Z,Partly Cloudy,partly-cloudy-night,0,0,NA,15.65,15.65,4.55,0.48,1020.5,4.6,10.51,169,0.44,0,10.003,296.2
2018-12-02T01:00:00Z,Partly Cloudy,partly-cloudy-night,0,0,NA,14.67,14.67,4.54,0.51,1021.11,4.2,9.01,163,0.21,0,10.003,295.7
2018-12-02T02:00:00Z,Clear,clear-night,0,0,NA,13.72,13.72,4.55,0.54,1021.67,4.2,9.03,162,0.09,0,10.003,294.7
2018-12-02T03:00:00Z,Clear,clear-night,0,0,NA,13.63,13.63,3.56,0.51,1022.06,4.9,9.39,152,0,0,10.003,294.1
2018-12-02T04:00:00Z,Clear,clear-night,0,0,NA,12.57,12.57,3.58,0.54,1022.14,3.48,9.25,159,0,0,10.003,294.1
2018-12-02T05:00:00Z,Clear,clear-night,0,0,NA,11.39,11.39,3.6,0.59,1022.05,3.85,9.02,156,0,0,10.003,294.5
2018-12-02T06:00:00Z,Clear,clear-night,0,0,NA,10.53,10.53,4.43,0.66,1022.12,3.81,8.28,169,0,0,10.003,297.5
2018-12-02T07:00:00Z,Clear,clear-night,0,0,NA,9.81,8.48,3.64,0.65,1022.24,2.69,8.01,177,0,0,10.003,300.2
2018-12-02T08:00:00Z,Clear,clear-night,0,0,NA,9.92,8.55,4.46,0.69,1022.4,2.79,7.77,180,0,0,10.003,303.4
2018-12-02T09:00:00Z,Clear,clear-day,0,0,NA,8.99,8.31,5.34,0.78,1022.59,1.68,7.44,206,0,0,10.003,305.6
2018-12-02T10:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,10.98,10.98,5.43,0.69,1022.83,2.82,6.9,196,0.19,1,10.003,306.2
2018-12-02T11:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,12.58,12.58,4.7,0.59,1023.11,3.51,8.61,182,0.19,2,10.003,305.6
2018-12-02T12:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,13.83,13.83,3.74,0.51,1023.27,4.15,8.7,202,0.19,4,10.003,303.1
2018-12-02T13:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,14.25,14.25,5.25,0.55,1023.01,4.79,9.24,197,0.44,6,10.003,302.1
2018-12-02T14:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,15.73,15.73,4.24,0.46,1022.54,4.45,8.18,181,0.44,7,10.003,300.9
2018-12-02T15:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,15.9,15.9,4.8,0.48,1021.98,4.35,8.2,206,0.44,8,10.003,299.9
2018-12-02T16:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,16.94,16.94,4.22,0.43,1021.34,3.76,4.75,228,0.44,9,10.003,299.1
2018-12-02T17:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,17.84,17.84,4.88,0.42,1020.63,3.65,4.49,163,0.19,9,10.003,298.4
2018-12-02T18:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,19.3,19.3,4.14,0.37,1020.01,2.98,3.52,202,0.3,7,10.003,295.7
2018-12-02T19:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,19.38,19.38,4.16,0.37,1019.29,3.75,3.75,50,0.19,5,10.003,295.8
2018-12-02T20:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,18.18,18.18,5.14,0.42,1018.6,3.7,3.7,44,0.19,3,10.003,296.6
2018-12-02T21:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,17.96,17.96,7.15,0.49,1018.07,3.24,3.65,35,0.19,1,10.003,297.4
2018-12-02T22:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,17.81,17.81,7.18,0.5,1017.83,2.71,3.34,8,0.44,0,10.003,298
2018-12-02T23:00:00Z,Partly Cloudy,partly-cloudy-night,0,0,NA,16.62,16.62,6.25,0.5,1017.77,2.08,2.93,9,0.44,0,10.003,298.5
2018-12-03T00:00:00Z,Partly Cloudy,partly-cloudy-night,0,0,NA,15.2,15.2,7.14,0.59,1017.36,2.1,2.1,338,0.19,0,10.003,301.4
2018-12-03T01:00:00Z,Partly Cloudy,partly-cloudy-night,0,0,NA,14.56,14.56,8.22,0.66,1017.14,2.07,3.11,284,0.19,0,10.003,301.5
2018-12-03T02:00:00Z,Clear,clear-night,0,0,NA,15.09,15.09,8.67,0.66,1016.87,2.89,4.86,311,0,0,10.003,301.2
2018-12-03T03:00:00Z,Clear,clear-night,0,0,NA,14.82,14.82,9.4,0.7,1016.52,2.29,6.5,294,0,0,10.003,300.9
2018-12-03T04:00:00Z,Clear,clear-night,0,0,NA,14.75,14.75,9.34,0.7,1016,4.21,7.84,311,0,0,10.003,300.9
2018-12-03T05:00:00Z,Clear,clear-night,0,0,NA,14.61,14.61,9.21,0.7,1015.39,4.19,9.08,311,0,0,10.003,300.8
2018-12-03T06:00:00Z,Clear,clear-night,0,0,NA,13.99,13.99,9.12,0.72,1014.74,4.16,9.83,300,0,0,10.003,301.6
2018-12-03T07:00:00Z,Clear,clear-night,0,0,NA,14.4,14.4,9,0.7,1014.35,5.04,10.55,300,0,0,10.003,301.3
2018-12-03T08:00:00Z,Clear,clear-night,0,0,NA,14.5,14.5,8.11,0.66,1014.02,5.58,11.07,298,0,0,10.003,300.8
2018-12-03T09:00:00Z,Clear,clear-day,0,0,NA,14.49,14.49,8.11,0.66,1013.81,5.54,11.37,298,0,0,10.003,300.5
2018-12-03T10:00:00Z,Clear,clear-day,0,0,NA,15.05,15.05,9.03,0.67,1013.75,6.03,11.48,289,0.05,1,10.003,300.6
2018-12-03T11:00:00Z,Clear,clear-day,0,0,NA,16.66,16.66,8.91,0.6,1013.79,5.98,11.35,293,0.12,2,10.003,300.9
2018-12-03T12:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,18.71,18.71,9.44,0.55,1013.04,6.49,12.29,282,0.23,4,10.003,302.9
2018-12-03T13:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,20.68,20.68,7.54,0.43,1012.75,6.88,11.21,280,0.43,6,10.003,305.7
2018-12-03T14:00:00Z,Mostly Cloudy,partly-cloudy-day,0,0,NA,21.72,21.72,7.49,0.4,1012.4,6.24,9.61,269,0.67,6,10.003,309.2
2018-12-03T15:00:00Z,Mostly Cloudy,partly-cloudy-day,0,0,NA,24.93,24.93,8.79,0.36,1011.88,5.87,8.41,269,0.8,6,10.003,311.6
2018-12-03T16:00:00Z,Mostly Cloudy,partly-cloudy-day,0,0,NA,25.04,25.04,9.01,0.36,1011.1,5.2,8.09,250,0.74,6,10.003,312.2
2018-12-03T17:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,26.7,26.7,9.22,0.33,1010.16,5.09,8.18,248,0.19,9,10.003,311.9
2018-12-03T18:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,27.18,27.18,8.65,0.31,1009.22,5.58,8.37,266,0.19,7,10.003,307.3
2018-12-03T19:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,27.16,27.16,7.17,0.28,1008.45,6.2,8.42,269,0.19,5,10.003,305.8
2018-12-03T20:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,26.64,26.64,6.08,0.27,1007.76,4.93,8.49,250,0.34,3,10.003,304.3
2018-12-03T21:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,25.61,25.61,6.79,0.3,1007.3,5.73,8.54,258,0.34,1,10.003,303.1
2018-12-03T22:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,25.8,25.8,6.81,0.3,1007.2,4.6,8.59,239,0.34,0,10.003,302.5
2018-12-03T23:00:00Z,Partly Cloudy,partly-cloudy-night,0,0,NA,24.26,24.26,7.7,0.35,1007.3,3.02,8.61,268,0.19,0,10.003,302.2
2018-12-04T00:00:00Z,Clear,clear-night,0,0,NA,22.43,22.43,8.84,0.42,1007,2.38,7.82,274,0,0,10.003,303.7
2018-12-04T01:00:00Z,Clear,clear-night,0,0,NA,21.5,21.5,8.94,0.45,1007.01,2.44,6.99,280,0.01,0,10.003,302.2
2018-12-04T02:00:00Z,Clear,clear-night,0,0,NA,19.45,19.45,11.21,0.59,1007.03,3.67,5.95,244,0.01,0,10.003,299.9
2018-12-04T03:00:00Z,Clear,clear-night,0,0,NA,18.31,18.31,14.04,0.76,1007.02,2.82,5.25,252,0.02,0,10.003,298
2018-12-04T04:00:00Z,Clear,clear-night,0,0,NA,16.84,16.84,13.68,0.82,1006.93,3.71,5.07,161,0.02,0,10.003,296.4
2018-12-04T05:00:00Z,Clear,clear-night,0,0,NA,17.73,17.73,14.11,0.79,1006.78,3.09,5.19,121,0.02,0,10.003,295
2018-12-04T06:00:00Z,Clear,clear-night,0,0,NA,17.44,17.44,11.6,0.69,1006.67,2.63,4.94,125,0.01,0,10.003,294.9
2018-12-04T07:00:00Z,Clear,clear-night,0,0,NA,15.35,15.35,8.26,0.63,1006.71,2.86,4.64,123,0.01,0,10.003,295
2018-12-04T08:00:00Z,Partly Cloudy,partly-cloudy-night,0,0,NA,14.77,14.77,7.81,0.63,1006.83,2.35,4.31,128,0.19,0,10.003,295.6
2018-12-04T09:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,14.69,14.69,9.01,0.69,1006.97,3.16,4.01,146,0.19,0,10.003,296.5
2018-12-04T10:00:00Z,Clear,clear-day,0,0,NA,14.49,14.49,9.12,0.7,1007.16,2.57,3.89,174,0,1,10.003,297.9
2018-12-04T11:00:00Z,Clear,clear-day,0,0,NA,15.76,15.76,8.64,0.63,1007.35,3.61,3.74,161,0,2,10.003,299.5
2018-12-04T12:00:00Z,Clear,clear-day,0,0,NA,17.83,17.83,9.69,0.59,1007.48,3.36,3.91,139,0,4,10.003,300.6
2018-12-04T13:00:00Z,Clear,clear-day,0,0,NA,18.47,18.47,11.73,0.65,1007.45,3.92,3.92,109,0,7,10.003,301.3
2018-12-04T14:00:00Z,Clear,clear-day,0,0,NA,18.86,18.86,10.71,0.59,1007.31,4.35,4.35,89,0,10,10.003,301.7
2018-12-04T15:00:00Z,Clear,clear-day,0,0,NA,20.23,20.23,11.77,0.58,1007.16,4.77,4.77,78,0,11,10.003,302
2018-12-04T16:00:00Z,Clear,clear-day,0,0,NA,20.36,20.36,10.92,0.55,1006.97,3.88,3.88,75,0,11,10.003,302.3
2018-12-04T17:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,20.15,20.15,12.58,0.62,1006.75,3.92,3.93,72,0.19,9,10.003,302.4
2018-12-04T18:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,21.34,21.34,12.63,0.58,1006.83,4.42,4.61,74,0.19,8,10.003,301.1
2018-12-04T19:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,20.33,20.33,12.59,0.61,1006.85,4.98,4.98,95,0.19,5,10.003,300.9
2018-12-04T20:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,20.31,20.31,13.53,0.65,1006.91,5.77,5.77,106,0.19,3,10.003,300.7
2018-12-04T21:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,20.24,20.24,11.49,0.57,1007.18,5.24,5.24,106,0.19,1,10.003,300.7
2018-12-04T22:00:00Z,Clear,clear-day,0,0,NA,20.13,20.13,11.28,0.57,1007.73,5.84,5.84,106,0.01,0,10.003,301
2018-12-04T23:00:00Z,Partly Cloudy,partly-cloudy-night,0,0,NA,18.94,18.94,12.41,0.66,1008.44,4.46,4.84,98,0.34,0,10.003,301.5
2018-12-05T00:00:00Z,Partly Cloudy,partly-cloudy-night,0,0,NA,19.02,19.02,12.67,0.67,1008.84,6.17,6.17,98,0.19,0,10.003,303
2018-12-05T01:00:00Z,Partly Cloudy,partly-cloudy-night,0,0,NA,17.92,17.92,10.64,0.62,1009.67,5.53,6.03,112,0.19,0,10.003,303
2018-12-05T02:00:00Z,Partly Cloudy,partly-cloudy-night,0,0,NA,17.71,17.71,10.77,0.64,1010.58,4.8,6.09,112,0.34,0,10.003,302.6
2018-12-05T03:00:00Z,Partly Cloudy,partly-cloudy-night,0,0,NA,16.7,16.7,10.63,0.67,1011.26,4.33,6.15,119,0.19,0,10.003,302.2
2018-12-05T04:00:00Z,Partly Cloudy,partly-cloudy-night,0,0,NA,16.68,16.68,10.67,0.68,1011.52,3.65,6.23,129,0.19,0,10.003,301.7
2018-12-05T05:00:00Z,Clear,clear-night,0,0,NA,15.62,15.62,10.68,0.72,1011.56,3.14,6.3,144,0.01,0,10.003,301.2
2018-12-05T06:00:00Z,Clear,clear-night,0,0,NA,15.39,15.39,11.35,0.77,1011.48,2.71,5.72,149,0.01,0,10.003,300.1
2018-12-05T07:00:00Z,Clear,clear-night,0,0,NA,14.76,14.76,11.65,0.82,1011.85,2.17,5.64,159,0.01,0,10.003,300
2018-12-05T08:00:00Z,Clear,clear-night,0,0,NA,14.29,14.29,11.58,0.84,1012.37,2.67,5.57,162,0,0,10.003,300.1
2018-12-05T09:00:00Z,Clear,clear-day,0,0,NA,14.59,14.59,11.56,0.82,1012.99,2.68,5.39,174,0,0,10.003,300.2
2018-12-05T10:00:00Z,Clear,clear-day,0,0,NA,15.82,15.82,11.59,0.76,1013.76,2.72,4.97,166,0,1,10.003,300.2
2018-12-05T11:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,17.64,17.64,11.67,0.68,1014.62,2.26,4.41,162,0.19,2,10.003,300.3
2018-12-05T12:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,19.77,19.77,11.72,0.6,1014.77,3.27,4.56,138,0.44,4,10.003,299
2018-12-05T13:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,19.72,19.72,11.74,0.6,1015.24,3.42,4.17,138,0.44,6,10.003,298.7
2018-12-05T14:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,19.83,19.83,11.72,0.6,1015.59,4.7,4.7,103,0.44,7,10.003,298.3
2018-12-05T15:00:00Z,Mostly Cloudy,partly-cloudy-day,0,0,NA,20.76,20.76,11.08,0.54,1015.8,3.15,3.62,102,0.75,7,10.003,297.6
2018-12-05T16:00:00Z,Mostly Cloudy,partly-cloudy-day,0,0,NA,21.22,21.22,12.2,0.56,1015.76,4.85,4.85,79,0.75,7,10.003,296.2
2018-12-05T17:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,21.93,21.93,12.41,0.55,1015.55,4.6,4.6,79,0.44,8,10.003,294.5
2018-12-05T18:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,22.22,22.22,12.52,0.54,1015.57,5.43,5.43,93,0.44,7,10.003,291
2018-12-05T19:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,21.59,21.59,13.34,0.59,1015.58,4.82,4.82,81,0.44,5,10.003,289.9
2018-12-05T20:00:00Z,Mostly Cloudy,partly-cloudy-day,0,0,NA,21.25,21.25,13.24,0.6,1015.67,4.72,4.72,95,0.56,3,10.003,289.3
2018-12-05T21:00:00Z,Mostly Cloudy,partly-cloudy-day,0,0,NA,20.67,20.67,13.16,0.62,1015.92,5.3,5.3,112,0.75,1,10.003,289.1
2018-12-05T22:00:00Z,Mostly Cloudy,partly-cloudy-day,0,0,NA,20.13,20.13,13.2,0.64,1016.48,5.43,5.43,105,0.75,0,10.003,289
2018-12-05T23:00:00Z,Mostly Cloudy,partly-cloudy-night,0.01,0.01,rain,19.86,19.86,13.27,0.66,1017.22,4.32,4.85,83,0.75,0,10.003,289.1
2018-12-06T00:00:00Z,Overcast,cloudy,0.01,0.02,rain,19.34,19.34,14.22,0.72,1017.92,3.72,4.23,92,1,0,10.003,293.6
2018-12-06T01:00:00Z,Overcast,cloudy,0.01,0.01,rain,19.95,19.95,14.06,0.69,1018.66,4.47,4.47,95,0.9,0,10.003,293.9
2018-12-06T02:00:00Z,Mostly Cloudy,partly-cloudy-night,0.01,0.01,rain,18.86,18.86,13.83,0.73,1019.41,6.84,6.84,105,0.75,0,10.003,293.7
2018-12-06T03:00:00Z,Mostly Cloudy,partly-cloudy-night,0.01,0.01,rain,17.83,17.83,12.66,0.72,1020,5.4,5.4,122,0.75,0,10.003,293.2
2018-12-06T04:00:00Z,Mostly Cloudy,partly-cloudy-night,0,0,NA,16.86,16.86,10.71,0.67,1020.33,5.01,5.87,121,0.75,0,10.003,292.3
2018-12-06T05:00:00Z,Mostly Cloudy,partly-cloudy-night,0,0,NA,16.56,16.56,8.66,0.6,1020.53,5.62,7.02,151,0.75,0,10.003,291
2018-12-06T06:00:00Z,Mostly Cloudy,partly-cloudy-night,0,0,NA,15.02,15.02,9.62,0.7,1020.85,4.83,7.81,161,0.75,0,10.003,290
2018-12-06T07:00:00Z,Mostly Cloudy,partly-cloudy-night,0,0,NA,14.5,14.5,9.61,0.72,1021.37,2.99,8.28,161,0.75,0,10.003,290.2
2018-12-06T08:00:00Z,Mostly Cloudy,partly-cloudy-night,0,0,NA,14.11,14.11,9.61,0.74,1022,5.04,8.49,170,0.75,0,10.003,290.9
2018-12-06T09:00:00Z,Mostly Cloudy,partly-cloudy-day,0,0,NA,13.4,13.4,9.61,0.78,1022.61,5.08,10.23,167,0.75,0,10.003,291.9
2018-12-06T10:00:00Z,Mostly Cloudy,partly-cloudy-day,0,0,NA,12.65,12.65,9.07,0.79,1023.27,5.02,10.22,169,0.75,1,10.003,293.2
2018-12-06T11:00:00Z,Mostly Cloudy,partly-cloudy-day,0,0,NA,13.69,13.69,7.93,0.68,1023.89,4.71,7.47,169,0.75,2,10.003,294.7
2018-12-06T12:00:00Z,Mostly Cloudy,partly-cloudy-day,0,0,NA,14.7,14.7,8.04,0.64,1024.39,5.5,6.07,162,0.75,3,10.003,294.3
2018-12-06T13:00:00Z,Mostly Cloudy,partly-cloudy-day,0,0,NA,16.64,16.64,8.11,0.57,1024.65,4.33,5.44,171,0.75,5,10.003,294.7
2018-12-06T14:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,17.29,17.29,6.72,0.5,1024.72,4.88,4.9,142,0.44,8,10.003,294.8
2018-12-06T15:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,18.65,18.65,6.26,0.44,1024.6,5.52,5.52,135,0.19,10,10.003,295.1
2018-12-06T16:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,18.64,18.64,7.67,0.49,1024.24,3.51,4.5,116,0.19,11,10.003,295.8
2018-12-06T17:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,18.83,18.83,8.22,0.5,1023.74,5.24,5.24,138,0.44,8,10.003,296.5
2018-12-06T18:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,19.06,19.06,7.6,0.47,1023.51,4.78,4.78,111,0.43,7,10.003,296.7
2018-12-06T19:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,19.34,19.34,8.8,0.51,1023.16,5.29,5.29,78,0.28,5,10.003,296.6
2018-12-06T20:00:00Z,Clear,clear-day,0,0,NA,18.31,18.31,8.22,0.52,1022.85,4.79,4.79,107,0.11,3,10.003,296.3
2018-12-06T21:00:00Z,Clear,clear-day,0,0,NA,18.17,18.17,9.2,0.56,1022.74,4.32,4.36,101,0.01,1,10.003,295.9
2018-12-06T22:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,17.04,17.04,9.39,0.61,1022.92,4.73,4.73,105,0.19,0,10.003,295.6
2018-12-06T23:00:00Z,Partly Cloudy,partly-cloudy-night,0,0,NA,16.86,16.86,9.4,0.61,1023.32,5.61,5.61,99,0.19,0,10.003,295.2
2018-12-07T00:00:00Z,Partly Cloudy,partly-cloudy-night,0.01,0.01,rain,15.88,15.88,9.49,0.66,1023.83,5.82,5.82,102,0.19,0,10.003,298.8
2018-12-07T01:00:00Z,Partly Cloudy,partly-cloudy-night,0,0,NA,15.91,15.91,9.39,0.65,1024.31,5.34,5.34,103,0.19,0,10.003,298.9
2018-12-07T02:00:00Z,Partly Cloudy,partly-cloudy-night,0,0,NA,14.89,14.89,8.62,0.66,1024.83,5.64,5.64,120,0.44,0,10.003,298.7
2018-12-07T03:00:00Z,Mostly Cloudy,partly-cloudy-night,0,0,NA,13.86,13.86,6.59,0.61,1025.15,5.15,5.15,126,0.56,0,10.003,298.7
2018-12-07T04:00:00Z,Partly Cloudy,partly-cloudy-night,0,0,NA,13.82,13.82,6.6,0.62,1025.17,3.86,4.1,105,0.41,0,10.003,299.3
2018-12-07T05:00:00Z,Partly Cloudy,partly-cloudy-night,0,0,NA,13.99,13.99,7.63,0.66,1025,2.5,4.02,140,0.19,0,10.003,300.2
2018-12-07T06:00:00Z,Partly Cloudy,partly-cloudy-night,0,0,NA,13.5,13.5,7.63,0.68,1024.79,2.4,3.48,164,0.19,0,10.003,300.7
2018-12-07T07:00:00Z,Partly Cloudy,partly-cloudy-night,0,0,NA,13.2,13.2,6.64,0.64,1024.89,2.37,3.12,149,0.16,0,10.003,301.1
2018-12-07T08:00:00Z,Clear,clear-night,0,0,NA,12.36,12.36,6.65,0.68,1025.1,1.25,2.7,162,0.07,0,10.003,301.5
2018-12-07T09:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,11.47,11.47,6.51,0.72,1025.33,1.67,2.35,188,0.19,0,10.003,301.5
2018-12-07T10:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,13.15,13.15,6.37,0.63,1025.62,1.45,2.06,187,0.19,1,10.003,301.3
2018-12-07T11:00:00Z,Clear,clear-day,0,0,NA,14.69,14.69,6.75,0.59,1025.91,2.6,2.6,109,0,2,10.003,300.9
2018-12-07T12:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,16.68,16.68,8.22,0.57,1025.65,2.01,2.01,124,0.19,4,10.003,297
2018-12-07T13:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,17.05,17.05,8.03,0.55,1025.52,2.45,2.45,69,0.19,7,10.003,295.3
2018-12-07T14:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,18.14,18.14,8.09,0.52,1025.28,2.91,2.91,48,0.19,9,10.003,293.7
2018-12-07T15:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,19.48,19.48,7.72,0.47,1024.94,3.22,3.22,20,0.44,9,10.003,292.1
2018-12-07T16:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,19.62,19.62,8.76,0.49,1024.48,2.68,3.3,54,0.44,9,10.003,290.5
2018-12-07T17:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,20.15,20.15,10.92,0.55,1023.89,3.91,3.91,39,0.44,8,10.003,289
2018-12-07T18:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,20.56,20.56,10.91,0.54,1023.42,4.21,4.21,59,0.19,8,10.003,286.5
2018-12-07T19:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,20.54,20.54,9.49,0.49,1022.84,3.68,3.68,47,0.19,6,10.003,286.2
2018-12-07T20:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,21.34,21.34,9.45,0.47,1022.28,3.58,3.58,63,0.19,3,10.003,286.4
2018-12-07T21:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,NA,21.1,21.1,9.42,0.47,1021.93,3.7,3.7,84,0.19,1,10.003,286.7
2018-12-07T22:00:00Z,Clear,clear-day,0,0,NA,20.14,20.14,9.32,0.5,1021.92,3.15,3.15,70,0,0,10.003,287.1
2018-12-07T23:00:00Z,Clear,clear-night,0,0,NA,18.96,18.96,9.43,0.54,1022.13,3.2,3.2,59,0,0,10.003,287.4
2018-12-08T00:00:00Z,Clear,clear-night,0,0,NA,18.28,18.28,10.54,0.61,1022.04,3.8,3.83,71,0,0,10.003,289.4
2018-12-08T01:00:00Z,Clear,clear-night,0,0,NA,18.43,18.43,10.66,0.61,1021.95,1.82,4.31,61,0,0,10.003,289.9
2018-12-08T02:00:00Z,Clear,clear-night,0,0,NA,17.37,17.37,10.77,0.65,1021.81,2.86,4.82,68,0,0,10.003,290.1
